,index,username,to,text,sentiment,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,urls,hashtag,short_date
71009,107277,JLenardDetroit,,"#RacistDebraMessing
#BLEXIT #BlacksWalkAwayFromDemocrats
#WalkAwayFromDemocrats
Former #BlackTwitter warriors give their testimonies: https://t.co/zVDwaMqoUi (LifeLong #Democrats awakened)
#BlackHistory #BlackLivesMatter? #p2 #inners
#Racist #Racism #RaceBaiting no more",0,1,1,-1,1.17E+18,https://twitter.com/JLenardDetroit/status/1169348449617268736,464189079,2019-09-04 20:36:10+00:00,Wed Sep 04 20:36:10 +0000 2019,,#RacistDebraMessing #BLEXIT #BlacksWalkAwayFromDemocrats #WalkAwayFromDemocrats #BlackTwitter #Democrats #BlackHistory #BlackLivesMatter #p2 #inners #Racist #Racism #RaceBaiting,https://t.co/zVDwaMqoUi,#blacklivesmatter,9/4/2019
5466,7288,Sideshowtim,BernieSanders,"@BernieSanders How about releasing all the people locked up for smoking pot, and the black people jailed long term for crimes that white people got misdemeanours for, or the people in there for three strike rules where it was three minor offences. #Justice #BlackLivesMatter",-1,0,1,-1,1.12E+18,https://twitter.com/Sideshowtim/status/1121159737611972608,264618389,2019-04-24 21:11:26+00:00,Wed Apr 24 21:11:26 +0000 2019,BernieSanders,#Justice #BlackLivesMatter,,#blacklivesmatter,4/24/2019
32873,50127,dailyblastlive,,".@Sephora and @Starbucks shut down to correct racist incidents that happened in their stores. @aljackson asks why can't we hold police to the same standards as a makeup chain? https://t.co/L0GTQxQ7dW

#DBLtake #BlackLivesMatter #BlackInAmerica #PhoenixPD #DravonAmes https://t.co/QPKCqHk5Lu",-1,5,10,-1,1.14E+18,https://twitter.com/dailyblastlive/status/1140715564249300993,8.49E+17,2019-06-17 20:19:18+00:00,Mon Jun 17 20:19:18 +0000 2019,Sephora Starbucks aljackson,#DBLtake #BlackLivesMatter #BlackInAmerica #PhoenixPD #DravonAmes,https://t.co/L0GTQxQ7dW,#blacklivesmatter,6/17/2019
34104,51403,Jasgripper,,"#Juneteenth4Justice 
@citizenactionny organizer Amy Jones- 
We are the descendants of enslaved people. We are the descendants of share croppers. We are survivors! 
Stop criminalizing us- Stop trying to re-enslave us- 
See our humanity!
#blacklivesmatter https://t.co/owsOOgDBjm",-1,6,7,-1,1.14E+18,https://twitter.com/Jasgripper/status/1141398171291140096,1110616226,2019-06-19 17:31:44+00:00,Wed Jun 19 17:31:44 +0000 2019,citizenactionny,#Juneteenth4Justice #blacklivesmatter,,#blacklivesmatter,6/19/2019
90563,134200,baileyparkertan,,"All I can say is thank you KINGï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½! May this video be shared amongst the m",1,0,7,-1,1.18E+18,https://twitter.com/baileyparkertan/status/1184525614130307072,32883310,2019-10-16 17:44:48+00:00,Wed Oct 16 17:44:48 +0000 2019,,#FortWorth #FortWorthPolice #AtatianaJefferson #BlackLivesMatter #Blacktwitter,,#blacklivesmatter,10/16/2019
62032,93773,AVALANCHE_RAP,,while you sleep Avalanche grinds and puts in work! https://t.co/Op83dcCw5Y #BlackLivesMatter #kotd,0,0,0,-1,1.16E+18,https://twitter.com/AVALANCHE_RAP/status/1161778289729581057,1133255809,2019-08-14 23:15:03+00:00,Wed Aug 14 23:15:03 +0000 2019,,#BlackLivesMatter #kotd,https://t.co/Op83dcCw5Y,#blacklivesmatter,8/14/2019
85179,127759,XMermanX,,#Rappers #mylist #BREAKING #HipHopAwards #WednesdayThoughts #blackish #bet #InTheWitchesBrew #DemocraticDebate #Blizzardboycott #getupdc #LGBTQ #BlackLivesMatter https://t.co/2LRv43CXBZ,0,0,0,-1,1.18E+18,https://twitter.com/XMermanX/status/1181918078092922880,1848802898,2019-10-09 13:03:23+00:00,Wed Oct 09 13:03:23 +0000 2019,,#Rappers #mylist #BREAKING #HipHopAwards #WednesdayThoughts #blackish #bet #InTheWitchesBrew #DemocraticDebate #Blizzardboycott #getupdc #LGBTQ #BlackLivesMatter,,#blacklivesmatter,10/9/2019
2308,2387,AlisaGaylePiano,,Amazing news! #JusticeForMoka!  #StandWithSexWorkers #BlackLivesMatter https://t.co/EEWOrAOVR2,1,0,0,-1,1.12E+18,https://twitter.com/AlisaGaylePiano/status/1118681156600250369,3029210380,2019-04-18 01:02:26+00:00,Thu Apr 18 01:02:26 +0000 2019,,#JusticeForMoka #StandWithSexWorkers #BlackLivesMatter,https://t.co/EEWOrAOVR2,#blacklivesmatter,4/18/2019
27486,42869,all_vlogsquad,dijoni,@dijoni @traphousesire why with so many guns and so many police? why? is this pure racism? than the police has to think twice before they pull up with so many. i feel so bad and im so sorry that you and so many others have to go through this. i hope you both are alright.. #BlackLivesMatter,-1,0,0,-1,1.14E+18,https://twitter.com/all_vlogsquad/status/1137955330464391168,9.34E+17,2019-06-10 05:31:07+00:00,Mon Jun 10 05:31:07 +0000 2019,dijoni traphousesire,#BlackLivesMatter,,#blacklivesmatter,6/10/2019
41128,62123,SusanYo20406671,,"As a middle class white woman I cannot imagine having to give the 'talk' with my kids. I have called cops fascists, criminals and terrorists. I am very aware that I only survived because I am white. #BlackLivesMatter",0,0,0,-1,1.15E+18,https://twitter.com/SusanYo20406671/status/1146525561302523911,9.05E+17,2019-07-03 21:06:09+00:00,Wed Jul 03 21:06:09 +0000 2019,,#BlackLivesMatter,,#blacklivesmatter,7/3/2019
5076,6890,AVALANCHE_RAP,,this is a track of a generation! https://t.co/LuV5ToSTye #blacklivesmatter #BlackPanthers,1,0,0,-1,1.12E+18,https://twitter.com/AVALANCHE_RAP/status/1120832233395322880,1133255809,2019-04-23 23:30:03+00:00,Tue Apr 23 23:30:03 +0000 2019,,#blacklivesmatter #BlackPanthers,https://t.co/LuV5ToSTye,#blacklivesmatter,4/23/2019
92861,140728,TheLivesThatMtr,,"Say their name. Kimani Johnson, 2016-03-31 #BlackLivesMatter.",0,0,0,-1,1.19E+18,https://twitter.com/TheLivesThatMtr/status/1186446267817353216,7.51E+17,2019-10-22 00:56:48+00:00,Tue Oct 22 00:56:48 +0000 2019,,#BlackLivesMatter,,#blacklivesmatter,10/22/2019
13006,20928,Sciclo1,,"Veel duidelijker kun je het niet krijgen, #Rotterdam dient te integreren in de #moslimcultuur volgens Mohamud van #Blacklivesmatter die zichzelf als afro-amerikaan beschrijft.ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ De berg is bij Mohammed aan",0,0,0,-1,1.13E+18,https://twitter.com/Sciclo1/status/1127535375772278784,9.36E+17,2019-05-12 11:25:56+00:00,Sun May 12 11:25:56 +0000 2019,,#Rotterdam #moslimcultuur #Blacklivesmatter,https://t.co/diCYBGza3f,#blacklivesmatter,5/12/2019
55177,83603,JGibsonDem,,.@SenGillibrand calls for the NYPD to fire Daniel Pantaleo. #FirePantaleo #BlackLivesMatter #DemDebate2 #DemDebate,0,0,1,-1,1.16E+18,https://twitter.com/JGibsonDem/status/1156737203009179650,31305822,2019-08-01 01:23:34+00:00,Thu Aug 01 01:23:34 +0000 2019,SenGillibrand,#FirePantaleo #BlackLivesMatter #DemDebate2 #DemDebate,,#blacklivesmatter,8/1/2019
82052,123501,JordanHora,,"As a Christian
As a Black Woman 
As an American 
As an observer of American Culture
This #AmberGuyer verdict and sentencing...is arresting in every way. 
The world owes a debt to the Jean family. 
#BothamJean #BeLikeBo 
#BlackLivesMatter",-1,0,2,-1,1.18E+18,https://twitter.com/JordanHora/status/1179536549932933120,15059043,2019-10-02 23:20:02+00:00,Wed Oct 02 23:20:02 +0000 2019,,#AmberGuyer #BothamJean #BeLikeBo #BlackLivesMatter,,#blacklivesmatter,10/2/2019
68448,103365,MirNajib1,,"I'm a black American, I am proud of my race. I am proud of who I am. I have a lot of pride and dignity.

Michael Jackson
Birth Anniversary Of Michael Jackson
Happy Birthday @michaeljackson
#HappyBirthdayMichaelJackson #MichaelJacksonBirthday #BlackLivesMatter #MichaelJacksonDay https://t.co/dDs421iAVw",1,13,35,-1,1.17E+18,https://twitter.com/MirNajib1/status/1166848743762800642,9.96E+17,2019-08-28 23:03:14+00:00,Wed Aug 28 23:03:14 +0000 2019,michaeljackson,#HappyBirthdayMichaelJackson #MichaelJacksonBirthday #BlackLivesMatter #MichaelJacksonDay,,#blacklivesmatter,8/28/2019
5985,7818,brownerspodcast,,"If more white people did what this white kid did, these types of incidents would cut back drastically! 
#BlackLivesMatter #discrimination #PoliceBrutality https://t.co/kGPiwrnhEY",0,0,3,-1,1.12E+18,https://twitter.com/brownerspodcast/status/1121276988591722497,128110662,2019-04-25 04:57:21+00:00,Thu Apr 25 04:57:21 +0000 2019,,#BlackLivesMatter #discrimination #PoliceBrutality,https://t.co/kGPiwrnhEY,#blacklivesmatter,4/25/2019
