,index,username,to,text,sentiment,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,urls,hashtag,short_date
1010,18589,Samantha_Lamb_,,Support #BlackLivesMatter #BlackTwitter #ICantBreathe #BLM #Ferguson #AllLivesMatter #SayHerName #BlueLivesMatter https://t.co/A9TQulymus,1,0,0,-1,1.1253E+18,https://twitter.com/Samantha_Lamb_/status/1125295439073415168,3484786402,2019-05-06 07:05:14+00:00,Mon May 06 07:05:14 +0000 2019,,#BlackLivesMatter #BlackTwitter #ICantBreathe #BLM #Ferguson #AllLivesMatter #SayHerName #BlueLivesMatter,https://t.co/A9TQulymus,#sayhername,5/6/2019
1333,18943,therevdrcherry,,"""Transparency,"" he said. We call BS. When you have two videos but release only one, that's not even translucency. #SAYHERNAME

Sandra Bland, It Turns Out, Recorded Her Own Video of Traffic Stop Confrontation https://t.co/5V7Sffxgtb",-1,0,1,-1,1.12581E+18,https://twitter.com/therevdrcherry/status/1125812860100186113,4196309234,2019-05-07 17:21:17+00:00,Tue May 07 17:21:17 +0000 2019,,#SAYHERNAME,https://t.co/5V7Sffxgtb,#sayhername,5/7/2019
1268,18872,Sadie_81MResist,,"#CoverUp
#SayHerName
#SandraBland https://t.co/B509THpnTG",0,1,1,-1,1.12581E+18,https://twitter.com/Sadie_81MResist/status/1125805955852247040,306055499,2019-05-07 16:53:50+00:00,Tue May 07 16:53:50 +0000 2019,,#CoverUp #SayHerName #SandraBland,https://t.co/B509THpnTG,#sayhername,5/7/2019
2499,25240,DannieMOlguin,,"ýýýýýýýPamela Shantay Turnerýýýýýýýwas shot 5 times, and the officer who executed her is on paid administrative leave. He was wearing a body cam, but they won't release the footage because it's an impending investigation.
#PamelaTurner #SayHerName #BlackLivesMatter #ReleaseTheFootage https://t.co/ryLYwTMhqb",-1,0,0,-1,1.12838E+18,https://twitter.com/DannieMOlguin/status/1128375410956349442,310354606,2019-05-14 19:03:56+00:00,Tue May 14 19:03:56 +0000 2019,,#PamelaTurner #SayHerName #BlackLivesMatter #ReleaseTheFootage,https://t.co/ryLYwTMhqb,#sayhername,5/14/2019
5512,75305,AshAgony,,#SandraBland/#SayHerName march taking over the streets of Brooklyn right now! https://t.co/vqFPysGQjy,1,11,9,-1,1.15012E+18,https://twitter.com/AshAgony/status/1150117274222825473,809115114,2019-07-13 18:58:20+00:00,Sat Jul 13 18:58:20 +0000 2019,,#SandraBland #SayHerName,,#sayhername,7/13/2019
9016,136617,katwardphoto,TheRoot,@TheRoot @ChuckModi1 #AtatianaJefferson ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,0,0,2,-1,1.18341E+18,https://twitter.com/katwardphoto/status/1183407900254826496,106151492,2019-10-13 15:43:24+00:00,Sun Oct 13 15:43:24 +0000 2019,TheRoot ChuckModi1,#AtatianaJefferson #SayHerName,,#sayhername,10/13/2019
4757,59407,KissRichmond,,#SayHerName: Maleah Davis Honored With ï¿½ï¿½ï¿½My Little Ponyï¿½ï¿½ï¿½ Casket For Upcoming Funeral https://t.co/D4sh4OxNm2 https://t.c,0,1,1,-1,1.14243E+18,https://twitter.com/KissRichmond/status/1142432846776360960,83879364,2019-06-22 14:03:10+00:00,Sat Jun 22 14:03:10 +0000 2019,,#SayHerName,https://t.co/D4sh4OxNm2,#sayhername,6/22/2019
10979,138704,ti_ninjaneer,,"I hate that we are at this point for so many reasons, primary being the loss of an innocent life #AtatianaJefferson But I really donï¿½ï¿½ï¿½t see how there was any other choice than murder charge. #SayHerName Tragic, senseless. We must and can do better. https://t.co/J54z",-1,0,1,-1,1.18394E+18,https://twitter.com/ti_ninjaneer/status/1183940171424763905,1447311474,2019-10-15 02:58:28+00:00,Tue Oct 15 02:58:28 +0000 2019,,#AtatianaJefferson #SayHerName,https://t.co/J54zwh5Jet,#sayhername,10/15/2019
5673,75487,Rashad__Isaiah,,Itï¿½ï¿½ï¿½s still insane when you consider the circumstances... that Sandra Bland got pulled over for a turning signal violation and somehow behind that she ends up dead in police custody... they murdered that woman... I hope your soul finds rest Queen ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,-1,1,1,-1,1.15016E+18,https://twitter.com/Rashad__Isaiah/status/1150159682801029120,594019890,2019-07-13 21:46:51+00:00,Sat Jul 13 21:46:51 +0000 2019,,#SayHerName,,#sayhername,7/13/2019
9260,136882,MikeHeymsfield,,"For white people still confused as to why #POC are fearful of #police, see story after story. Talk to people about their experiences and how they differ from your own. Be an ally. #SayHerName #AtatianaJefferson https://t.co/w7lKPagrvg",-1,0,0,-1,1.18344E+18,https://twitter.com/MikeHeymsfield/status/1183436387661402112,319829178,2019-10-13 17:36:36+00:00,Sun Oct 13 17:36:36 +0000 2019,,#POC #police #SayHerName #AtatianaJefferson,https://t.co/w7lKPagrvg,#sayhername,10/13/2019
